A la deriva;Proyeccion audiovisual;06/07/2018;09/07/2018;40;Espanyol;Zalla
A la sombra de un almendro;Teatro;26/05/2018;26/05/2018;34;Espanyol;Baranyain/Baranyain
A la sombra de un almendro;Teatro;02/06/2018;02/06/2018;40;Espanyol;Noain (Valle de Erlorz)/Noain (Elortzibar)
A little less conversation;Teatro;05/05/2018;06/05/2018;Gratis;Espanyol;Arrigorriaga
A lurpean;Teatro;07/07/2018;08/07/2018;Gratis;Euskera;Zarautz
A pan y agua;Teatro;15/08/2018;15/08/2018;20;Espanyol;Donostia / San Sebastian
A pan y agua;Teatro;04/05/2018;04/05/2018;27;Espanyol;Bilbao
A plena luz del sol sucede el dia (la interfaz perfecta), master class a cargo de Xabier Araujo;Curso-taller;20/11/2018;20/11/2018;Gratis;Espanyol;Bilbao
A Post-Believe Manifiesto: Delta & Accumulating;Danza;17/10/2018;17/10/2018;15;Espanyol;Bilbao
A proposito de Domènech;Proyeccion audiovisual;29/06/2018;29/06/2018;Gratis;Espanyol;Bilbao
A Rebel to Hope;Concierto;04/01/2018;04/01/2018;Gratis;Espanyol;Bilbao
A tomar viento fresco;Teatro;28/01/2018;28/01/2018;6;Espanyol;Pasaia
A traves del espejo;Danza;29/12/2018;29/12/2018;40;Espanyol;Berango
A traves del espejo;Danza;30/12/2018;30/12/2018;9;Espanyol;Galdakao
A traves del futbol + The Damned United;Proyeccion audiovisual;20/02/2018;20/02/2018;Gratis;Euskera / Espanyol;Donostia / San Sebastian
A.T.A.K.A;Teatro;21/07/2018;21/07/2018;20;Espanyol;Zigoitia
Aaron Keylock;Concierto;18/02/2018;18/02/2018;12;Ingles;Pamplona/Irunya
Abandonate mucho;Teatro;14/10/2018;14/10/2018;15;Espanyol;Pasaia
Abandonate mucho;Teatro;14/02/2018;14/02/2018;34;Espanyol;Laudio/Llodio
ABAo Txiki: Allegro Vivace;Actividad infantil;26/05/2018;27/05/2018;14;Espanyol;Bilbao
ABAo Txiki: Pedro eta otsoa;Actividad infantil;10/03/2018;11/03/2018;14;Euskera;Bilbao
ABBA The New Experience;Concierto;30/11/2018;30/11/2018;22;Espanyol;Donostia / San Sebastian
Abba Tribute;Concierto;16/12/2018;16/12/2018;6;Ingles;Bilbao
Abbadiako eremuko bidexketan barna;otros;09/03/2018;09/03/2018;18;Euskera;Hendaye
ABC. El alfabeto del Museo de Bilbao;Exposicion;06/10/2018;06/01/2020;15;Espanyol;Bilbao
Abduction Scars;Proyeccion audiovisual;13/02/2018;13/02/2018;Gratis;Espanyol;Bilbao
Abel Pintos;Concierto;12/10/2018;12/10/2018;34;Espanyol;Pamplona/Irunya
Abel Pintos;Concierto;13/10/2018;13/10/2018;34;Espanyol;Bilbao
Abeltxuriak: concierto didactico;Actividad infantil;18/04/2018;18/04/2018;Gratis;Euskera;Bilbao
Abeltxuriak: concierto didactico;Actividad infantil;17/04/2018;17/04/2018;Gratis;Euskera;Bilbao
Abeltxuriak: concierto didactico;Actividad infantil;23/03/2018;23/03/2018;Gratis;Euskera;Bilbao
Abeltxuriak: concierto didactico;Actividad infantil;03/02/2018;03/02/2018;Gratis;Euskera;Bilbao
Abereh + Anari;Concierto;21/12/2018;21/12/2018;Gratis;Euskera;Balmaseda
Abesbatza Eguna;Concierto;20/05/2018;20/05/2018;Gratis;Espanyol;Irun
Abesbatzen Kontzertua: Beltza Gorri + Sutargi;Concierto;24/03/2018;24/03/2018;18;Espanyol;Lezo
Abesdantza;Danza;09/06/2018;09/06/2018;6;Espanyol;Altsasu/Alsasua
Abian! 2018;Festivales (Gazteinformazioa);13/09/2018;15/09/2018;15;Euskera;Ustaritz
Abierto el concurso para elegir el cartel de los Sanmigueles de 2018 de Urnieta;Concurso;31/05/2018;06/07/2018;27;Euskera;Urnieta
Abriendo tu caja de Pandora, curso impartido por Peter Shub;Curso-taller;29/03/2018;01/04/2018;18;Espanyol;Durango
